year,Time period,Beginning stocks,Production,Imports 2,Total supply 3,Food use,Seed use,Feed and residual use,Total domestic use 3,Exports 2,Total disappearance 3,Ending stocks
1950-01-01 00:00:00+00:00,MY Jun-May,496.0,1019.0,11.0,1526.0,580.0,--,109.0,689.0,345.0,1034.0,492.0
1951-01-01 00:00:00+00:00,MY Jun-May,492.0,988.0,30.0,1510.0,585.0,--,110.0,695.0,485.0,1180.0,330.0
1952-01-01 00:00:00+00:00,MY Jun-May,330.0,1306.0,24.0,1660.0,578.0,--,78.0,656.0,332.0,988.0,672.0
1953-01-01 00:00:00+00:00,MY Jun-May,672.0,1173.0,6.0,1851.0,556.0,--,87.0,643.0,214.0,857.0,994.0
1954-01-01 00:00:00+00:00,MY Jun-May,994.0,984.0,3.0,1981.0,552.0,--,53.0,605.0,267.0,872.0,1109.0
1955-01-01 00:00:00+00:00,MY Jun-May,1109.0,937.0,10.0,2056.0,553.0,--,51.0,604.0,322.0,926.0,1130.0
1956-01-01 00:00:00+00:00,MY Jun-May,1130.0,1005.0,8.0,2143.0,541.0,--,57.0,598.0,541.0,1139.0,1004.0
1957-01-01 00:00:00+00:00,MY Jun-May,1004.0,956.0,10.0,1970.0,547.0,--,43.0,590.0,418.0,1008.0,962.0
1958-01-01 00:00:00+00:00,MY Jun-May,962.0,1457.0,8.0,2427.0,561.0,--,48.0,609.0,450.0,1059.0,1368.0
1959-01-01 00:00:00+00:00,MY Jun-May,1368.0,1118.0,7.0,2493.0,558.0,--,49.0,607.0,502.0,1109.0,1384.0
1960-01-01 00:00:00+00:00,MY Jun-May,1384.2,1354.7,8.1,2747.0,496.5,64.3,30.3,591.1,653.5,1244.6,1502.4
1961-01-01 00:00:00+00:00,MY Jun-May,1502.4,1232.4,5.9,2740.7,504.0,56.3,44.1,604.4,715.7,1320.1,1420.6
1962-01-01 00:00:00+00:00,MY Jun-May,1420.6,1092.0,5.3,2517.9,502.7,61.4,34.7,598.8,649.4,1248.2,1269.7
1963-01-01 00:00:00+00:00,MY Jun-May,1269.7,1146.8,4.0,2420.5,487.9,64.9,28.6,581.4,845.6,1427.0,993.5
1964-01-01 00:00:00+00:00,MY Jun-May,993.5,1283.4,1.8,2278.7,514.4,65.5,55.0,634.9,722.7,1357.6,921.1
1965-01-01 00:00:00+00:00,MY Jun-May,921.1,1315.6,0.9,2237.6,517.9,61.5,145.9,725.3,851.8,1577.1,660.5
1966-01-01 00:00:00+00:00,MY Jun-May,660.5,1304.9,1.7,1967.1,505.1,77.4,100.5,683.0,771.3,1454.3,512.8
1967-01-01 00:00:00+00:00,MY Jun-May,512.8,1507.6,1.0,2021.4,517.8,71.3,36.8,625.9,765.3,1391.2,630.2
1968-01-01 00:00:00+00:00,MY Jun-May,630.2,1556.6,1.1,2187.9,522.4,60.8,156.5,739.7,544.2,1283.9,904.0
1969-01-01 00:00:00+00:00,MY Jun-May,904.0,1442.7,2.9,2349.6,520.1,55.5,188.4,764.0,603.0,1367.0,982.6
1970-01-01 00:00:00+00:00,MY Jun-May,982.6,1351.6,1.4,2335.6,517.1,62.1,192.8,772.0,740.8,1512.8,822.8
1971-01-01 00:00:00+00:00,MY Jun-May,822.8,1618.6,1.1,2442.5,523.7,63.2,262.4,849.3,609.8,1459.1,983.4
1972-01-01 00:00:00+00:00,MY Jun-May,983.4,1546.2,1.3,2530.9,531.8,67.4,199.5,798.7,1135.1,1933.8,597.1
1973-01-01 00:00:00+00:00,MY Jun-May,597.1,1710.8,2.6,2310.5,544.3,84,125.1,753.4,1217.0,1970.4,340.1
1974-01-01 00:00:00+00:00,MY Jun-May,340.1,1781.9,3.4,2125.4,545.0,92,34.9,671.9,1018.5,1690.4,435.0
1975-01-01 00:00:00+00:00,MY Jun-May,435.0,2126.927,2.4,2564.327,588.5,100,37.317,725.817,1172.881,1898.698,665.629
1976-01-01 00:00:00+00:00,MY Jun-May,665.629,2148.78,2.7,2817.109,588.0,92,74.328,754.328,949.532,1703.86,1113.249
1977-01-01 00:00:00+00:00,MY Jun-May,1113.249,2045.527,1.9,3160.676,586.5,80,192.501,859.001,1123.867,1982.868,1177.808
1978-01-01 00:00:00+00:00,MY Jun-May,1177.808,1775.524,1.9,2955.232,592.4,87,157.604,837.004,1194.129,2031.133,924.099
1979-01-01 00:00:00+00:00,MY Jun-May,924.099,2134.06,2.1,3060.259,596.1,101,85.985,783.085,1375.175,2158.26,901.999
1980-01-01 00:00:00+00:00,MY Jun-May,901.999,2380.934,2.5,3285.433,610.5,113,58.986,782.486,1513.834,2296.32,989.113
1981-01-01 00:00:00+00:00,MY Jun-May,989.113,2785.357,2.8,3777.27,602.4,110,134.776,847.176,1770.73,2617.906,1159.364
1982-01-01 00:00:00+00:00,MY Jun-May,1159.364,2764.967,7.6,3931.931,616.4,97,194.836,908.236,1508.632,2416.868,1515.063
1983-01-01 00:00:00+00:00,MY Jun-May,1515.063,2419.824,3.84,3938.727,642.6,100,371.103,1113.703,1426.378,2540.081,1398.646
1984-01-01 00:00:00+00:00,MY Jun-May,1398.646,2594.777,9.44,4002.863,651.0,98,407.181,1156.181,1421.442,2577.623,1425.24
1985-01-01 00:00:00+00:00,MY Jun-May,1425.24,2424.115,16.286,3865.641,674.32,93,284.209,1051.529,909.131,1960.66,1904.981
1986-01-01 00:00:00+00:00,MY Jun-May,1904.981,2090.57,21.25,4016.801,712.218,84,401.169,1197.387,998.51,2195.897,1820.904
1987-01-01 00:00:00+00:00,MY Jun-May,1820.904,2107.685,16.085,3944.674,720.739,85,290.214,1095.953,1587.877,2683.83,1260.844
1988-01-01 00:00:00+00:00,MY Jun-May,1260.844,1812.201,22.669,3095.714,725.775,103,150.459,979.234,1414.854,2394.088,701.626
1989-01-01 00:00:00+00:00,MY Jun-May,701.626,2036.618,22.467,2760.711,748.918,104.278,139.102,992.298,1231.958,2224.256,536.455
1990-01-01 00:00:00+00:00,MY Jun-May,536.455,2729.778,36.407,3302.64,789.797,92.861,482.396,1365.054,1069.452,2434.506,868.134
1991-01-01 00:00:00+00:00,MY Jun-May,868.134,1980.139,40.694,2888.967,789.479,97.704,244.458,1131.641,1282.305,2413.946,475.021
1992-01-01 00:00:00+00:00,MY Jun-May,475.021,2466.798,70.001,3011.82,834.842,99.097,193.649,1127.588,1353.58,2481.168,530.652
1993-01-01 00:00:00+00:00,MY Jun-May,530.652,2396.44,108.817,3035.909,871.664,96.252,271.748,1239.664,1227.761,2467.425,568.484
1994-01-01 00:00:00+00:00,MY Jun-May,568.484,2320.981,91.947,2981.412,852.981,89.044,344.525,1286.55,1188.277,2474.827,506.585
1995-01-01 00:00:00+00:00,MY Jun-May,506.585,2182.708,67.933,2757.226,882.876,103.459,153.728,1140.063,1241.143,2381.206,376.02
1996-01-01 00:00:00+00:00,MY Jun-May,376.02,2277.388,92.333,2745.741,890.719,102.3,307.593,1300.612,1001.522,2302.134,443.607
1997-01-01 00:00:00+00:00,MY Jun-May,443.607,2481.466,94.923,3019.996,914.119,92.474,250.534,1257.127,1040.391,2297.518,722.478
1998-01-01 00:00:00+00:00,MY Jun-May,722.478,2547.321,102.986,3372.785,909.961,80.429,390.734,1381.124,1045.743,2426.867,945.918
1999-01-01 00:00:00+00:00,MY Jun-May,945.918,2295.56,94.511,3335.989,928.828,91.656,279.258,1299.742,1086.499,2386.241,949.748
2000-01-01 00:00:00+00:00,MY Jun-May,949.748,2228.16,89.825,3267.733,949.594,79.49,300.426,1329.51,1062.041,2391.551,876.182
2001-01-01 00:00:00+00:00,MY Jun-May,876.182,1947.453,107.551,2931.186,926.391,83.385,181.987,1191.763,962.311,2154.074,777.112
2002-01-01 00:00:00+00:00,MY Jun-May,777.112,1605.878,77.374,2460.364,918.615,84.383,115.739,1118.737,850.211,1968.948,491.416
2003-01-01 00:00:00+00:00,MY Jun-May,491.416,2344.415,63.027,2898.858,911.93,79.65,202.515,1194.095,1158.324,2352.419,546.439
2004-01-01 00:00:00+00:00,MY Jun-May,546.439,2156.79,70.57,2773.799,909.551,77.609,180.628,1167.788,1065.911,2233.699,540.1
